Unnamed: 0,area_type,location,total_sqft,bath,balcony,price,bhk
1060,Super built-up  Area,Yelahanka,1234.0,2.0,2.0,80.0,2
1061,Super built-up  Area,Sarjapur  Road,1403.0,3.0,1.0,55.0,3
1062,Plot  Area,Kadugondanahalli,915.0,4.0,1.0,54.9,4
1063,Plot  Area,2nd Stage Nagarbhavi,3000.0,8.0,3.0,451.0,6
1064,Super built-up  Area,Seegehalli,1150.0,2.0,2.0,42.9,3
1065,Built-up  Area,Hebbal,3900.0,4.0,2.0,410.0,4
1066,Built-up  Area,Yeshwanthpur,850.0,4.0,2.0,90.0,5
1067,Super built-up  Area,Kanakapura,929.0,2.0,1.0,46.0,2
1068,Plot  Area,2nd Stage Nagarbhavi,2400.0,8.0,3.0,450.0,6
1069,Plot  Area,TC Palaya,1350.0,2.0,1.0,75.0,3
1070,Super built-up  Area,Vasanthapura,1135.0,2.0,1.0,39.73,2
1071,Built-up  Area,Basava Nagar,1405.0,2.0,2.0,70.0,2
1072,Plot  Area,Whitefield,1200.0,2.0,1.0,45.84,2
1073,Super built-up  Area,Haralur Road,2805.0,4.0,3.0,154.0,4
1074,Super built-up  Area,Yeshwanthpur,1161.0,2.0,2.0,64.08,2
1075,Super built-up  Area,Kanakpura Road,1290.0,2.0,3.0,74.0,2
1076,Super built-up  Area,Yeshwanthpur,2557.0,3.0,2.0,141.0,3
1077,Built-up  Area,2nd Block Hrbr Layout,1480.0,3.0,2.0,90.0,3
1078,Plot  Area,BTM 1st Stage,3300.0,14.0,2.0,500.0,9
1079,Super built-up  Area,Old Madras Road,1350.0,3.0,0.0,54.54,3
1080,Super built-up  Area,Kadugodi,1580.0,2.0,2.0,65.0,3
1081,Super built-up  Area,Banashankari,1470.0,2.0,1.0,88.64,3
1082,Super built-up  Area,Ananth Nagar,500.0,1.0,1.0,14.0,1
1083,Super built-up  Area,Sarjapur  Road,1346.0,2.0,1.0,61.92,2
1084,Super built-up  Area,Canara Bank Layout,1600.0,3.0,3.0,90.0,3
1085,Super built-up  Area,Naganathapura,720.0,2.0,1.0,120.0,2
1086,Plot  Area,Narasapura,1559.6266939129123,2.0,2.0,29.5,2
1087,Plot  Area,Manjunath Nagar,1200.0,4.0,0.0,135.0,4
1088,Super built-up  Area,Basapura,1200.0,2.0,2.0,35.0,2
1089,Built-up  Area,Channasandra,1340.0,2.0,2.0,48.33,3
1090,Plot  Area,Devanahalli,6136.0,4.0,2.0,560.0,4
1091,Super built-up  Area,Jigani,918.0,2.0,2.0,48.0,2
1092,Plot  Area,Singena Agrahara,1500.0,3.0,2.0,115.0,3
1093,Super built-up  Area,Yelahanka,1315.0,2.0,2.0,85.0,2
1094,Plot  Area,Sector 1 HSR Layout,2400.0,5.0,2.0,775.0,4
1095,Super built-up  Area,Uttarahalli,1390.0,2.0,2.0,62.55,3
1096,Super built-up  Area,Uttarahalli,1330.0,2.0,1.0,56.0,3
1097,Built-up  Area,Jalahalli,3100.0,4.0,2.0,265.0,5
1098,Super built-up  Area,Mango Garden Layout,1824.0,3.0,3.0,125.0,3
1099,Super built-up  Area,7th Phase JP Nagar,1420.0,2.0,2.0,96.0,3
1100,Plot  Area,Kacharakanahalli,750.0,1.0,0.0,56.25,1
1101,Super built-up  Area,Jalahalli East,1260.0,2.0,1.0,60.0,3
1102,Super built-up  Area,Hennur Road,1561.0,3.0,2.0,95.0,3
1103,Plot  Area,5th Phase JP Nagar,812.0,6.0,3.0,165.0,9
1104,Super built-up  Area,"Bidere Agarahara, Behind Safal market",1060.0,2.0,2.0,42.0,2
1105,Plot  Area,Hoodi,1120.0,8.0,3.0,145.0,8
1106,Super built-up  Area,Haralur Road,1225.0,2.0,1.0,67.38,2
1107,Super built-up  Area,Thanisandra,2144.0,3.0,2.0,135.0,3
1108,Plot  Area,Kengeri,1200.0,6.0,2.0,140.0,7
1109,Super built-up  Area,Electronic City,880.0,2.0,2.0,29.0,2
1110,Super built-up  Area,Hoodi,1639.0,3.0,2.0,110.0,3
1111,Built-up  Area,Thanisandra,1240.0,2.0,1.0,62.0,3
1112,Super built-up  Area,Kanakpura Road,1500.0,2.0,2.0,69.0,2
1113,Super built-up  Area,Haralur Road,1243.0,2.0,1.0,46.0,2
1114,Super built-up  Area,Marathahalli,1575.0,3.0,2.0,78.0,3
1115,Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2
1116,Super built-up  Area,Kambipura,1082.0,2.0,1.0,56.0,3
1117,Super built-up  Area,Konanakunte,1637.0,3.0,3.0,73.0,3
1118,Super built-up  Area,Kanakpura Road,1665.0,3.0,2.0,86.58,3
1119,Super built-up  Area,Electronic City,1265.0,2.0,0.0,56.93,2
1120,Super built-up  Area,Electronic City,1691.0,2.0,2.0,102.0,3
1121,Super built-up  Area,Thanisandra,1100.0,2.0,1.0,38.0,2
1122,Built-up  Area,Grihalakshmi Layout,24.0,2.0,2.0,150.0,5
1123,Plot  Area,Gopalkrishna Nagar,1500.0,3.0,2.0,62.0,3
1124,Built-up  Area,Hosakerehalli,3205.0,5.0,1.0,380.0,4
1125,Built-up  Area,Kammanahalli,1666.0,4.0,1.0,150.0,5
1126,Super built-up  Area,Choodasandra,1115.0,2.0,2.0,50.0,2
1127,Super built-up  Area,Mysore Road,1070.0,2.0,1.0,45.0,2
1128,Super built-up  Area,Indira Nagar,1128.0,2.0,2.0,105.0,2
1129,Super built-up  Area,Budigere,1162.0,2.0,1.0,57.0,2
1130,Super built-up  Area,Sai Gardens,1339.0,2.0,2.0,55.0,2
1131,Super built-up  Area,Mahadevpura,1192.0,2.0,2.0,75.0,2
1132,Super built-up  Area,Haralur Road,1920.0,3.0,1.0,115.0,3
1133,Super built-up  Area,Hennur,1255.0,2.0,1.0,52.32,2
1134,Super built-up  Area,Rajaji Nagar,1357.0,2.0,1.0,115.0,2
1135,Super built-up  Area,Dodda Kempaiah Layout,1600.0,3.0,2.0,75.0,3
1136,Super built-up  Area,Hanumanth Nagar,1225.0,2.0,2.0,55.11,2
1137,Plot  Area,Whitefield,2400.0,4.0,3.0,200.0,4
1138,Super built-up  Area,Kasturi Nagar,1570.0,3.0,3.0,80.0,3
1139,Super built-up  Area,Thanisandra,1093.0,2.0,2.0,70.0,2
1140,Built-up  Area,Basaveshwara Nagar,1865.0,3.0,3.0,145.0,3
1141,Plot  Area,R.T. Nagar,1200.0,7.0,3.0,165.0,6
1142,Super built-up  Area,Kaikondrahalli,1039.0,2.0,2.0,80.0,2
1143,Super built-up  Area,Vittasandra,1246.0,2.0,1.0,64.5,2
1144,Super built-up  Area,Whitefield,1985.0,3.0,2.0,75.0,3
1145,Super built-up  Area,Hosakerehalli,1590.0,3.0,3.0,49.0,3
1146,Plot  Area,Hunasamaranahalli,4000.0,4.0,2.0,675.0,4
1147,Super built-up  Area,Electronic City Phase II,775.0,2.0,2.0,38.0,2
1148,Super built-up  Area,RWF West Colony,1000.0,2.0,1.0,50.0,2
1149,Super built-up  Area,Hebbal Kempapura,1800.0,3.0,2.0,175.0,3
1150,Super built-up  Area,Bommasandra,1035.0,2.0,1.0,41.0,2
1151,Super built-up  Area,Dasarahalli,1520.0,2.0,1.0,75.0,3
1152,Super built-up  Area,Whitefield,1360.0,2.0,1.0,95.0,2
1153,Plot  Area,Bileshivale,6000.0,5.0,3.0,400.0,4
1154,Super built-up  Area,Kodigehaali,1117.0,2.0,2.0,56.0,2
1155,Plot  Area,KR Puram,1200.0,4.0,3.0,120.0,4
1156,Super built-up  Area,EPIP Zone,1330.0,2.0,1.0,92.5,2
1157,Super built-up  Area,Marathahalli,1937.0,3.0,2.0,160.0,3
1158,Super built-up  Area,Electronic City,1128.0,2.0,1.0,65.49,2
1159,Super built-up  Area,Neeladri Nagar,1053.0,2.0,1.0,45.0,2
1160,Super built-up  Area,Panathur,1198.0,2.0,1.0,77.0,2
1161,Super built-up  Area,Marathahalli,1152.0,2.0,1.0,56.0,2
1162,Super built-up  Area,1st Block Jayanagar,1200.0,6.0,2.0,125.0,6
1163,Super built-up  Area,Frazer Town,1625.0,2.0,1.0,75.0,2
1164,Super built-up  Area,Kundalahalli,1397.0,3.0,3.0,105.0,3
1165,Super built-up  Area,Yeshwanthpur,1523.0,3.0,3.0,170.0,3
1166,Super built-up  Area,Kambipura,883.0,2.0,1.0,45.0,2
1167,Super built-up  Area,Kaggalipura,700.0,1.0,0.0,38.0,1
1168,Super built-up  Area,Yelahanka,1170.0,2.0,1.0,62.5,2
1169,Super built-up  Area,Kanakpura Road,1200.0,2.0,2.0,42.0,3
1170,Built-up  Area,Manayata Tech Park,2400.0,3.0,2.0,170.0,3
1171,Super built-up  Area,Kullappa Colony,1480.0,2.0,2.0,65.0,2
1172,Super built-up  Area,Akshaya Nagar,1897.0,3.0,2.0,120.0,3
1173,Super built-up  Area,Rachenahalli,996.0,2.0,1.0,67.0,2
1174,Super built-up  Area,Haralur Road,1875.0,3.0,2.0,110.0,3
1175,Super built-up  Area,Williams Town,1500.0,2.0,2.0,98.0,3
1176,Super built-up  Area,Jaya Nagar East,3095.0,3.0,3.0,350.0,3
1177,Super built-up  Area,Ambalipura,1390.0,2.0,1.0,175.0,3
1178,Super built-up  Area,Yelahanka,1450.0,3.0,0.0,65.255,3
1179,Super built-up  Area,Yelahanka,697.0,1.0,0.0,45.0,1
1180,Built-up  Area,Sarjapur  Road,710.0,1.0,1.0,27.0,1
1181,Carpet  Area,Iggalur,910.0,2.0,1.0,30.5,2
1182,Built-up  Area,Sompura,1025.0,2.0,1.0,48.0,3
1183,Super built-up  Area,Magadi Road,1000.0,2.0,0.0,46.5,2
1184,Plot  Area,Harlur,1200.0,4.0,2.0,244.0,4
1185,Super built-up  Area,Horamavu Agara,1453.0,2.0,1.0,46.48,3
1186,Super built-up  Area,Sarjapur  Road,3335.0,5.0,2.0,300.0,4
1187,Super built-up  Area,Thanisandra,971.5,2.0,0.0,36.435,2
1188,Super built-up  Area,Bellandur,1281.0,2.0,1.0,74.0,2
1189,Built-up  Area,Cooke Town,565.0,1.0,1.0,35.0,1
1190,Built-up  Area,Varthur,1024.0,2.0,2.0,42.0,2
1191,Built-up  Area,Electronic City,1620.0,3.0,2.0,62.0,3
1192,Super built-up  Area,Whitefield,1254.0,2.0,2.0,40.0,2
1193,Built-up  Area,Banashankari,1300.0,2.0,2.0,75.0,3
1194,Built-up  Area,Doddakallasandra,1233.0,2.0,2.0,43.0,2
1195,Plot  Area,Chokkanahalli,1200.0,1.0,1.0,28.0,1
1196,Super built-up  Area,Hosur Road,1510.0,2.0,1.0,105.0,3
1197,Super built-up  Area,Kaggalipura,950.0,2.0,1.0,65.0,2
1198,Super built-up  Area,Battarahalli,1945.0,3.0,2.0,97.42,3
1199,Super built-up  Area,Uttarahalli,1008.0,2.0,3.0,45.0,2
1200,Super built-up  Area,Thanisandra,1265.0,2.0,1.0,79.0,3
1201,Super built-up  Area,Hebbal,1255.0,2.0,1.0,77.68,3
1202,Built-up  Area,Kanakpura Road,2689.0,6.0,2.0,220.0,4
1203,Built-up  Area,Yelenahalli,1200.0,2.0,2.0,46.17,2
1204,Super built-up  Area,Sarjapur  Road,1403.0,3.0,3.0,51.63,3
1205,Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,85.0,3
1206,Plot  Area,Chikkaballapur,1500.0,3.0,3.0,100.0,3
1207,Super built-up  Area,Chamrajpet,1475.0,2.0,2.0,120.0,3
1208,Super built-up  Area,Uttarahalli,1390.0,2.0,2.0,60.47,3
1209,Super built-up  Area,Raja Rajeshwari Nagar,1278.0,2.0,1.0,53.76,3
1210,Super built-up  Area,VGP Layout,1133.0,2.0,2.0,55.0,2
1211,Plot  Area,Classic Paradise Layout,1560.0,5.0,1.0,145.0,5
1212,Plot  Area,Byappanahalli,2900.0,5.0,2.0,90.0,5
1213,Super built-up  Area,Kogilu,1170.0,2.0,1.0,51.99,2
1214,Plot  Area,Sahakara Nagar,1200.0,3.0,3.0,200.0,3
1215,Super built-up  Area,Whitefield,1697.0,3.0,2.0,94.79,3
1216,Super built-up  Area,Thanisandra,1651.0,3.0,3.0,97.38,3
1217,Super built-up  Area,Vasanth nagar,1560.0,3.0,1.0,188.0,3
1218,Super built-up  Area,Hennur Road,1192.0,2.0,1.0,60.0,3
1219,Built-up  Area,OMBR Layout,1078.0,2.0,3.0,65.0,2
1220,Plot  Area,Kumaraswami Layout,800.0,7.0,3.0,105.0,7
1221,Super built-up  Area,Kasavanhalli,1349.0,2.0,2.0,78.0,2
1222,Plot  Area,Ulsoor,2300.0,8.0,1.0,210.0,9
1223,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3
1224,Super built-up  Area,Rayasandra,1314.0,2.0,2.0,63.0,3
1225,Super built-up  Area,Garudachar Palya,1060.0,2.0,1.0,48.7,2
1226,Built-up  Area,Kalyan nagar,820.0,2.0,0.0,39.0,2
1227,Plot  Area,Whitefield,5000.0,4.0,3.0,400.0,4
1228,Super built-up  Area,BEML Layout,2000.0,3.0,2.0,85.0,3
1229,Super built-up  Area,Kalkere,856.0,2.0,3.0,40.0,2
1230,Super built-up  Area,Rajaji Nagar,1621.0,4.0,0.0,130.0,3
1231,Plot  Area,ITPL,1200.0,3.0,1.0,68.4,3
1232,Super built-up  Area,Bannerghatta Road,1484.0,3.0,2.0,52.5,3
1233,Plot  Area,T.C. Palya,600.0,5.0,2.0,60.0,4
1234,Plot  Area,Siddapura,14000.0,3.0,2.0,800.0,4
1235,Super built-up  Area,Yelahanka New Town,500.0,1.0,1.0,20.0,1
1236,Super built-up  Area,Makali,485.0,1.0,1.0,15.0,1
1237,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,42.0,2
1238,Super built-up  Area,Uttarahalli,1617.0,3.0,3.0,66.68,3
1239,Built-up  Area,Electronic City,550.0,1.0,1.0,16.0,2
1240,Built-up  Area,RWF West Colony,1384.0,3.0,2.0,62.28,3
1241,Super built-up  Area,Devanahalli,1408.0,2.0,2.0,85.0,2
1242,Built-up  Area,Uttarahalli,1150.0,2.0,1.0,49.0,2
1243,Super built-up  Area,Akshaya Nagar,1410.0,2.0,2.0,75.0,3
1244,Built-up  Area,Kaggadasapura,2150.0,4.0,1.0,100.0,4
1245,Super built-up  Area,Koramangala,2292.0,4.0,1.0,275.0,3
1246,Built-up  Area,Malleshwaram,2006.0,3.0,2.0,297.0,3
1247,Built-up  Area,Maragondanahalli,1508.0,3.0,2.0,70.25,3
1248,Built-up  Area,Ramamurthy Nagar,1040.0,2.0,2.0,50.0,2
1249,Plot  Area,TC Palaya,1240.0,2.0,1.0,60.0,2
1250,Super built-up  Area,Kudlu Gate,1535.0,3.0,1.0,78.0,3
1251,Built-up  Area,Lakshminarayana Pura,1180.0,2.0,2.0,75.0,2
1252,Built-up  Area,Abbigere,2200.0,6.0,2.0,68.0,6
1253,Super built-up  Area,Bannerghatta Road,1400.0,2.0,2.0,78.0,2
1254,Super built-up  Area,Raja Rajeshwari Nagar,500.0,1.0,1.0,25.0,1
1255,Plot  Area,Whitefield,4800.0,4.0,3.0,525.0,4
1256,Super built-up  Area,Sarjapur  Road,1984.0,4.0,1.0,146.0,3
1257,Plot  Area,Whitefield,3000.0,5.0,3.0,250.0,4
1258,Super built-up  Area,Garudachar Palya,1960.0,3.0,3.0,160.0,3
1259,Super built-up  Area,Sarjapur  Road,1035.0,2.0,1.0,45.0,2
1260,Built-up  Area,Vibuthipura,2150.0,4.0,1.0,80.0,4
1261,Built-up  Area,Whitefield,1700.0,3.0,2.0,115.0,3
1262,Super built-up  Area,Hosakerehalli,3024.0,5.0,1.0,248.0,4
1263,Super built-up  Area,Tumkur Road,1586.0,3.0,1.0,100.0,3
1264,Built-up  Area,Hennur,2264.0,2.0,2.0,155.0,3
1265,Plot  Area,Chikka Tirupathi,2325.0,4.0,1.0,120.0,4
1266,Super built-up  Area,Yelahanka,1120.0,2.0,2.0,55.0,2
1267,Super built-up  Area,Yelahanka,1662.0,2.0,2.0,67.98,3
1268,Super built-up  Area,Sarjapur  Road,1128.0,2.0,2.0,59.0,2
1269,Plot  Area,5th Block Hbr Layout,1200.0,6.0,2.0,250.0,6
1270,Super built-up  Area,Jigani,924.0,2.0,2.0,65.0,2
1271,Super built-up  Area,Suraksha Nagar,1600.0,3.0,2.0,52.0,3
1272,Super built-up  Area,Pai Layout,1006.0,2.0,2.0,35.0,2
1273,Super built-up  Area,Amruthahalli,1200.0,2.0,2.0,55.0,2
1274,Super built-up  Area,Jalahalli West,1250.0,2.0,1.0,62.0,2
1275,Plot  Area,Defence Layout,1200.0,3.0,1.0,130.0,3
1276,Built-up  Area,Kannamangala,957.0,2.0,1.0,56.0,2
1277,Super built-up  Area,Whitefield,1140.0,2.0,2.0,41.0,2
1278,Super built-up  Area,Roopena Agrahara,1050.0,2.0,1.0,67.0,2
1279,Super built-up  Area,Kasturi Nagar,1565.0,3.0,2.0,88.5,3
1280,Super built-up  Area,Whitefield,1190.0,2.0,3.0,57.0,2
1281,Built-up  Area,Whitefield,2842.0,3.0,2.0,162.0,3
1282,Built-up  Area,Kanakpura Road,1558.67,2.0,2.0,65.0,3
1283,Super built-up  Area,Electronics City Phase 1,630.0,1.0,1.0,39.0,1
1284,Super built-up  Area,Whitefield,1403.0,2.0,2.0,60.81,3
1285,Super built-up  Area,Kanakpura Road,1542.0,2.0,3.0,85.0,3
1286,Built-up  Area,Haralur Road,2750.0,4.0,0.0,220.0,4
1287,Super built-up  Area,Iblur Village,3596.0,5.0,1.0,290.0,4
1288,Super built-up  Area,Kengeri Satellite Town,1635.0,2.0,2.0,78.0,3
1289,Super built-up  Area,Mysore Road,1239.0,2.0,1.0,53.0,2
1290,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,47.0,2
1291,Super built-up  Area,Dooravani Nagar,1596.0,3.0,1.0,105.0,3
1292,Super built-up  Area,Channasandra,1009.0,2.0,1.0,38.34,2
1293,Super built-up  Area,Hosa Road,1726.0,3.0,2.0,81.99,3
1294,Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,86.0,3
1295,Super built-up  Area,Banashankari Stage V,1300.0,2.0,1.0,58.5,3
1296,Plot  Area,Whitefield,3100.0,4.0,2.0,465.0,4
1297,Super built-up  Area,Coconut Garden,1800.0,3.0,3.0,80.0,3
1298,Super built-up  Area,Binny Pete,665.0,1.0,0.0,50.75,1
1299,Plot  Area,Chamrajpet,4050.0,7.0,1.0,1200.0,9
1300,Plot  Area,TC Palaya,1500.0,2.0,1.0,100.0,3
1301,Built-up  Area,Kalkere,925.0,2.0,2.0,48.0,2
1302,Super built-up  Area,Old Airport Road,3356.0,4.0,2.0,251.0,4
1303,Super built-up  Area,Gollahalli,1395.0,2.0,1.0,63.59,2
1304,Super built-up  Area,Sonnenahalli,1415.0,2.0,1.0,55.0,3
1305,Super built-up  Area,Begur,1419.0,2.0,2.0,59.0,3
1306,Super built-up  Area,Kasavanhalli,1121.0,2.0,2.0,78.0,2
1307,Super built-up  Area,Kambipura,1082.0,2.0,1.0,45.0,3
1308,Super built-up  Area,KR Puram,1100.0,2.0,1.0,47.0,2
1309,Super built-up  Area,Hoodi,1606.0,3.0,3.0,89.55,3
1310,Built-up  Area,Billekahalli,1650.0,3.0,2.0,88.0,3
1311,Super built-up  Area,D Souza Layout,4634.0,4.0,3.0,1015.0,3
1312,Super built-up  Area,Old Airport Road,1206.0,2.0,3.0,75.0,2
1313,Built-up  Area,Sarjapur  Road,1495.0,2.0,0.0,64.0,3
1314,Plot  Area,Malleshwaram,840.0,7.0,2.0,195.0,8
1315,Super built-up  Area,Electronic City,710.0,2.0,2.0,16.0,2
1316,Super built-up  Area,Balagere,1210.0,2.0,1.0,72.0,2
1317,Super built-up  Area,Nagarbhavi,1523.0,2.0,2.0,53.4,3
1318,Super built-up  Area,Whitefield,1232.0,2.0,2.0,45.0,2
1319,Super built-up  Area,Rachenahalli,680.0,1.0,1.0,44.0,1
1320,Super built-up  Area,Hebbal,1355.0,3.0,1.0,83.87,3
1321,Super built-up  Area,Thanisandra,1430.0,2.0,2.0,51.46,3
1322,Super built-up  Area,Kothannur,1275.0,2.0,2.0,43.85,3
1323,Super built-up  Area,Electronic City,1070.0,2.0,1.0,56.1,2
1324,Plot  Area,Bettahalsoor,1200.0,3.0,1.0,85.0,3
1325,Plot  Area,Electronic City,2000.0,4.0,0.0,120.0,4
1326,Super built-up  Area,Bommanahalli,1200.0,2.0,2.0,40.0,2
1327,Super built-up  Area,Marathahalli,1610.0,3.0,1.0,90.0,3
1328,Super built-up  Area,Haralur Road,1140.0,2.0,2.0,43.0,2
1329,Super built-up  Area,Raja Rajeshwari Nagar,1143.0,2.0,2.0,38.65,2
1330,Super built-up  Area,Jakkur,3467.86,6.0,3.0,249.0,4
1331,Super built-up  Area,Rachenahalli,1530.0,2.0,2.0,74.4,3
1332,Super built-up  Area,7th Phase JP Nagar,980.0,2.0,2.0,69.0,2
1333,Super built-up  Area,Whitefield,1485.0,3.0,2.0,65.0,3
1334,Plot  Area,Whitefield,1500.0,3.0,1.0,130.0,3
1335,Super built-up  Area,Whitefield,1280.0,2.0,1.0,75.0,2
1336,Super built-up  Area,Thanisandra,1265.0,2.0,2.0,85.0,2
1337,Built-up  Area,"ECC Road, Whitefield, ",1132.0,2.0,1.0,67.0,2
1338,Super built-up  Area,Ashwath Nagar,1262.0,2.0,2.0,63.0,2
1339,Super built-up  Area,JP Nagar,940.0,2.0,1.0,49.0,2
1340,Super built-up  Area,Seetharampalya,1515.0,3.0,3.0,88.0,3
1341,Super built-up  Area,Jigani,1300.0,3.0,3.0,150.0,3
1342,Built-up  Area,Kothanur,1840.0,3.0,1.0,69.0,3
1343,Built-up  Area,Electronic City,890.0,2.0,2.0,45.0,2
1344,Super built-up  Area,Rukmaiah Layout,1655.0,3.0,2.0,86.06,3
1345,Super built-up  Area,Hennur Road,2060.0,3.0,1.0,149.0,3
1346,Super built-up  Area,Bommanahalli,1730.0,3.0,1.0,96.0,3
1347,Built-up  Area,Yelahanka,2195.0,4.0,2.0,127.0,3
1348,Super built-up  Area,Kathriguppe,1650.0,3.0,2.0,125.0,3
1349,Plot  Area,KR Puram,1200.0,2.0,0.0,71.0,2
1350,Super built-up  Area,Hosa Road,1079.0,2.0,1.0,32.37,2
1351,Super built-up  Area,Panathur,1085.0,2.0,1.0,36.0,2
1352,Built-up  Area,Maruthi Sevanagar,5000.0,7.0,2.0,299.0,7
1353,Super built-up  Area,Yelahanka,1075.0,2.0,1.0,51.5,2
1354,Super built-up  Area,Devanahalli Int. Airport,1380.0,2.0,1.0,80.0,2
1355,Super built-up  Area,Puttanahalli,1450.0,3.0,1.0,65.0,3
1356,Super built-up  Area,Thubarahalli,1200.0,2.0,2.0,78.0,2
1357,Super built-up  Area,Benson Town,3200.0,4.0,2.0,350.0,3
1358,Super built-up  Area,Hoodi,1639.0,3.0,1.0,98.32,3
1359,Super built-up  Area,Jakkuru Layout,1200.0,2.0,1.0,54.0,2
1360,Super built-up  Area,Vijayanagar,1739.0,3.0,1.0,116.0,3
1361,Built-up  Area,Palanahalli,4346.0,5.0,2.0,500.0,4
1362,Super built-up  Area,Old Madras Road,935.0,2.0,1.0,32.72,2
1363,Super built-up  Area, Thanisandra,510.0,1.0,1.0,25.25,1
1364,Plot  Area,Devasandra Extension,1200.0,6.0,3.0,180.0,6
1365,Super built-up  Area,Nagondanahalli,1178.0,2.0,3.0,47.0,2
1366,Built-up  Area,Chikkalasandra,1375.0,2.0,1.0,50.0,3
1367,Super built-up  Area,Chandapura,1065.0,2.0,1.0,33.0,3
1368,Super built-up  Area,2nd Phase Judicial Layout,1450.0,2.0,1.0,50.75,3
1369,Built-up  Area,BEML Layout,999.0,2.0,3.0,45.0,2
1370,Super built-up  Area,Amruthahalli,4400.0,3.0,2.0,475.0,2
1371,Plot  Area,Marathahalli,1350.0,4.0,1.0,135.0,5
1372,Built-up  Area,Kothannur,1100.0,2.0,2.0,40.0,2
1373,Super built-up  Area,Koramangala,1835.0,2.0,3.0,155.0,3
1374,Super built-up  Area,Hoodi,2090.0,4.0,0.0,95.1,4
1375,Super built-up  Area,Lingadheeranahalli,1519.0,3.0,1.0,93.0,3
1376,Built-up  Area,Dommasandra,1267.0,3.0,2.0,56.0,3
1377,Super built-up  Area,Sanjay nagar,1150.0,2.0,3.0,72.2,2
1378,Super built-up  Area,Marathahalli,1146.0,2.0,1.0,70.0,2
1379,Plot  Area,1st Block HRBR Layout,1200.0,7.0,0.0,235.0,8
1380,Built-up  Area,Kannamangala,1550.0,3.0,3.0,65.0,3
1381,Built-up  Area,Chandapura,850.0,1.0,1.0,18.5,2
1382,Super built-up  Area,Richmond Town,2200.0,3.0,2.0,187.0,3
1383,Built-up  Area,"Sarjapur Road, ",3329.0,3.0,2.0,330.0,3
1384,Carpet  Area,Electronics City Phase 1,785.0,1.0,1.0,55.0,1
1385,Super built-up  Area,Hebbal Kempapura,2900.0,4.0,2.0,300.0,3
1386,Built-up  Area,Raja Rajeshwari Nagar,1610.0,3.0,2.0,74.0,3
1387,Super built-up  Area,Bellandur,921.0,2.0,2.0,40.0,2
1388,Plot  Area,Kengeri Satellite Town,850.0,3.0,2.0,95.0,3
1389,Built-up  Area,Bannerghatta Road,2700.0,5.0,0.0,158.0,5
1390,Super built-up  Area,Sarjapur  Road,1700.0,3.0,3.0,110.0,3
1391,Built-up  Area,Sarjapur,1020.0,2.0,2.0,35.0,2
1392,Super built-up  Area,Billekahalli,1090.0,2.0,3.0,52.0,2
1393,Plot  Area,Bagalur Main Road,3600.0,4.0,2.0,300.0,4
1394,Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2
1395,Super built-up  Area,Thanisandra,1185.0,2.0,2.0,42.1,2
1396,Super built-up  Area,Doddathoguru,850.0,2.0,1.0,25.0,2
1397,Built-up  Area,Harlur,1197.0,2.0,1.0,84.0,2
1398,Super built-up  Area,Byadarahalli,3500.0,3.0,3.0,450.0,4
1399,Super built-up  Area,Poorna Pragna Layout,920.0,2.0,2.0,39.55,2
1400,Super built-up  Area,Chamrajpet,1559.6266939129123,9.0,1.0,296.0,9
1401,Super built-up  Area,Raja Rajeshwari Nagar,1105.0,2.0,1.0,65.0,2
1402,Super built-up  Area,Yeshwanthpur,1850.0,3.0,3.0,100.0,3
1403,Super built-up  Area,Judicial Layout,1300.0,3.0,1.0,64.0,3
1404,Built-up  Area,"Varthur Road, ",1595.0,3.0,2.0,76.0,3
1405,Super built-up  Area,Kodihalli,3073.0,5.0,2.0,696.0,4
1406,Built-up  Area,Horamavu Agara,755.0,2.0,1.0,37.49,2
1407,Built-up  Area,Nagasandra,4050.0,5.0,2.0,140.0,5
1408,Super built-up  Area,Kanakpura Road,1300.0,2.0,3.0,69.0,3
1409,Built-up  Area,Bannerghatta Road,1215.0,2.0,0.0,50.0,2
1410,Super built-up  Area,Kanakpura Road,900.0,2.0,1.0,46.0,2
1411,Super built-up  Area,Banashankari Stage III,1145.0,2.0,3.0,58.4,2
1412,Super built-up  Area,Chikka Banaswadi,1093.0,2.0,2.0,65.0,2
1413,Super built-up  Area,Babusapalaya,1213.0,2.0,2.0,41.39,3
1414,Super built-up  Area,Bannerghatta Road,1654.0,3.0,2.0,100.0,3
1415,Super built-up  Area,NGR Layout,1105.0,2.0,1.0,52.48,2
1416,Super built-up  Area,Babusapalaya,1611.0,2.0,2.0,66.0,3
1417,Built-up  Area,Outer Ring Road East,1367.0,2.0,2.0,62.0,2
1418,Super built-up  Area,Devanahalli,1010.0,2.0,1.0,51.0,2
1419,Plot  Area,Kavika Layout,750.0,2.0,1.0,75.0,3
1420,Carpet  Area,Vinayaka Nagar,1535.0,3.0,1.0,95.0,3
